Atoms,Orbital,Mean Energy,Std Energy
Li,1s,64.64,0.0
B,1s,195.749609375,1.422192692283572
C,1s,291.8558726239662,1.9579527137374084
N,1s,406.23225943396227,3.9816820473148846
O,1s,539.239671178517,2.638814937247745
F,1s,692.8733633217993,11.46477775711718
Ne,1s,870.2966666666666,0.0
Na,1s,1078.7,0.0
Mg,1s,1311.3333333333333,0.0
P,1s,2154.108888888889,2.5629134131684217
S,1s,2484.1,5.810335618533539
Si,2p,107.3601030927835,1.0333955182463006
Mg,2p3/2,57.245000000000005,0.44547727214752675
Al,2p3/2,80.21000000000001,1.0934044692305456
Si,2p3/2,110.14,0.0
P,2p3/2,139.14484929078014,2.5171986161998707
S,2p3/2,171.78530303030303,5.343588443912242
Cl,2p3/2,206.4855149812734,0.9169720772307483
Ar,2p3/2,248.62,0.0
K,2p3/2,300.7,0.0
Ca,2p3/2,356.0,0.0
Ti,2p3/2,466.3875,1.772180859844747
V,2p3/2,522.7375,4.1386462590009785
Cr,2p3/2,583.0769736842105,3.0744763080423065
Mn,2p3/2,647.975,2.5234538959959893
Fe,2p3/2,715.1318686868686,0.41085610095292524
Co,2p3/2,786.0546666666667,0.4276447123489241
Ni,2p3/2,860.955,0.8089808403169948
Cu,2p3/2,941.15,1.6263455967290272
Zn,2p3/2,1030.05,1.4849242404916856
As,2p3/2,1330.1,0.0
Se,2p3/2,1441.4,0.0
Ne,2s,48.47,0.0
Na,2s,70.86,0.0
Mg,2s,96.5,0.0
P,2s,196.4576923076923,2.0404090841714124
S,2s,235.76909090909092,3.090247415808172
Cl,2s,278.0716326530612,0.9811862440832714
Ar,2s,326.37,0.0
Ca,2s,447.5,0.0
Ge,3d,37.786385542168674,1.1934616880168512
As,3d,54.8,1.6970562748477132
Se,3d,61.493,1.1233288822859395
Zn,3d5/2,16.842,0.18809040379562292
Ga,3d5/2,25.61,0.0
Br,3d5/2,77.40784615384615,4.2220714674152005
Kr,3d5/2,93.75,0.0
Sr,3d5/2,142.45,0.0
Mo,3d5/2,238.38333333333333,14.514865122480801
Rh,3d5/2,314.28,0.0
Ag,3d5/2,375.55,0.0
Cd,3d5/2,412.0625,0.08838834764831845
Sn,3d5/2,492.6673333333333,1.3050203428445424
Sb,3d5/2,535.74,2.54911749434973
Te,3d5/2,580.59,0.7794228634060079
I,3d5/2,626.296875,0.9440427015450319
Xe,3d5/2,681.1196666666667,3.1319563463680957
Cs,3d5/2,731.6766666666667,0.40749914792002967
Ba,3d5/2,788.1,0.0
Ti,3p,45.266666666666666,1.9857828011475294
Co,3p,66.4,0.0
Ni,3p,73.5,0.0
Cu,3p,64.9,0.0
Cd,3p,624.9,0.0
Ca,3p3/2,34.32,0.0
Zn,3p3/2,96.1,0.0
Br,3p3/2,190.08444444444444,0.48905805154170684
Kr,3p3/2,214.38333333333335,0.0
Rb,3p3/2,245.4,0.0
Sr,3p3/2,278.1,0.0
Xe,3p3/2,940.6,0.0
Cs,3p3/2,1005.0,0.0
Co,3s,108.5,0.0
Ni,3s,118.2,0.0
Cu,3s,129.6,0.0
As,3s,212.23333333333332,0.1527525231652015
Br,3s,264.27,0.0
Kr,3s,292.8,0.0
Xe,3s,1148.7,0.0
Te,4d,46.5475,0.4675085942678333
Cd,4d5/2,17.124,0.35484926377266174
In,4d5/2,23.84,0.0
Sn,4d5/2,32.08107142857143,1.3975406675951936
I,4d5/2,57.0,0.441588043316392
Xe,4d5/2,70.21333333333334,2.6522694684615526
Ba,4d5/2,98.4,0.0
Hg,4d5/2,366.0,0.0
Ti,4f7/2,125.75,0.0
W,4f7/2,40.237,3.7475385254857625
Re,4f7/2,49.05,1.1797033525424945
Hg,4f7/2,107.570625,1.1314746554091848
Pb,4f7/2,143.8,0.0
Bi,4f7/2,165.56666666666666,0.5773502691896257
U,4f7/2,392.86,0.0
Sr,4p3/2,28.21,0.0
I,4p3/2,129.9,0.0
Xe,4p3/2,145.505,0.0
Hg,4p3/2,583.8,0.0
I,4s,194.26000000000002,0.4929503017546526
Xe,4s,213.26,0.0
Hg,4s,809.4,0.0
Hg,5d5/2,14.868333333333334,0.15332427509475952
Pb,5d5/2,24.775,0.7141778489984141
Hg,5p3/2,71.7,0.0
Hg,5s,134.0,0.0
