Atoms,Embeddings
B,"[-0.9953943  -0.51018846  0.00676373 -0.7320074   0.5712236   0.2663283
  1.413647    0.76302654  0.40791178 -0.239892    0.07252136 -0.678204
  0.52901644  0.17899199  0.38167995  0.02157484 -0.3729856  -0.11914408
  0.5566014  -0.22626197 -0.18861157  0.22075471  0.97637045 -0.36115962
 -0.09007542  0.05151581 -1.1666754  -0.00498974  1.2259328  -0.8694718 ]"
C,"[-2.8318813e-01  4.6558416e-01  1.1553520e-01 -5.9938535e-02
  4.1409314e-01 -2.0255348e-01  4.1453543e-01  2.1139331e-01
  2.1563481e-01 -9.2867523e-02 -1.0527959e+00 -2.7328265e-01
  9.2517847e-01 -8.1132457e-05  9.1101867e-01 -9.9819109e-02
  2.9454708e-01 -1.9915238e-01 -1.3666616e-01  4.4287586e-01
 -8.1848752e-01  1.4173010e-01  1.7345160e-01 -4.2594546e-03
  4.6318582e-01  6.4131343e-01 -5.9112966e-01 -6.6807091e-01
  9.5030195e-01  4.7870884e-03]"
F,"[ 0.52535474  0.46384844 -0.7877182   1.5728769  -0.53732955  0.08068101
 -0.56647176  0.54906946 -0.2760207  -0.17093024  0.1414417  -0.58629614
 -1.2700539  -0.12974559 -0.62540454  0.27065068  0.7600603   0.46742517
  0.18061589  1.0456375  -0.9261912  -0.07766601  0.21625102 -0.24204862
  0.32343227 -0.59619594  0.05036025 -0.15267436  0.27604094 -0.2184877 ]"
Li,"[-0.3910743   0.15840337  0.14244637 -0.34413645  0.5089258   0.41242993
 -0.15107015  0.11737303  0.06459761 -0.16572353 -0.2932118  -0.6514276
  0.69825166  1.4460981   0.13651326 -0.33864263 -0.07639577  0.3421073
 -1.0143471  -1.8009654   0.30828977 -0.0462341   0.670052   -0.21371071
  0.58032286 -0.5099225  -0.17318556  0.00576586 -0.5554563   0.9870074 ]"
Mg,"[ 0.49623957 -0.541495    0.49945366 -1.077652    1.392638    0.0552407
 -0.20378965 -0.25566432  0.37157014 -0.30224037 -0.35653636 -0.38048306
 -0.09673718  0.13436523 -0.19762321  0.5787097  -0.4182162  -0.09000902
 -0.15430458 -0.44320703  0.25475907 -0.42837813  0.26127386  0.56149143
  0.07403105 -0.16545506 -1.0301864   0.07483575 -1.1786735   0.11158448]"
N,"[ 1.0181339  -0.81288356  0.03011671  0.5463309   0.16701731 -0.16734089
  0.1932172   0.23874742  0.30861947 -0.3517451  -0.5567141   0.10976401
  0.11347952  0.21197666  0.05204597  0.4686531  -0.45739865  0.046261
 -0.5565992   0.2779738  -0.01041488  0.12180225 -0.34481743  0.00484036
  0.3453162  -0.27738166 -0.28121126 -0.07000668  0.61500436  0.2754084 ]"
Na,"[-0.78834355  0.31970048  0.3468558   0.3613043   0.5969929  -1.3881571
 -0.6056332  -0.52357864 -0.06724584 -1.0599312  -0.25886187  0.50112486
  0.26962313  1.3810886   0.12473901  0.36912763 -0.7092986  -0.97292465
 -1.0267818  -1.527472    0.34998775  0.93346596  0.6633721  -0.13085854
 -0.12565178 -0.02530206 -0.00459214  0.3769916  -0.26244882  0.7978839 ]"
Ne,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]"
O,"[ 0.34039557 -0.31425568  0.17205602  0.34347656 -0.4400334  -0.03135566
  0.50810295  0.22309305  0.19738509 -0.1441565  -0.2699746  -0.16101691
 -1.2564082   0.10055982 -0.33456916  0.19950028  0.09763187 -0.19678468
 -0.14388044  0.4541425   0.20636308 -0.2545421   0.05014237 -0.03671662
  0.1495287  -0.12864721  0.23112854 -0.6605381   0.1713196   0.01990594]"
P,"[ 0.08734648 -0.588088    1.055567   -0.5523883  -0.26044667 -0.27362704
  0.772903   -0.07871914 -0.3411677   0.50841707 -0.51713467  0.6182182
  0.9161378   0.55664593  0.28388444  0.23136526 -0.23134246 -0.41084045
 -0.04241143 -0.38909575  0.5669038   0.78497195  0.3317708  -0.03866508
  0.5159287  -0.47176895  0.01967873  0.482507    0.6785788  -0.64144886]"
