Molecule,Element,Orbital,Binding Energy
H,H,1s,13.6
He,He,1s,24.6
Li,Li,1s,54.7
Be,Be,1s,111.5
B,B,1s,188.0
C,C,1s,284.2
N,N,1s,409.9
N,N,2s,37.3
O,O,1s,543.1
O,O,2s,41.6
F,F,1s,696.7
Ne,Ne,1s,870.2
Ne,Ne,2s,48.5
Ne,Ne,2p1/2,21.7
Ne,Ne,2p3/2,21.6
Na,Na,2p1/2,30.65
Na,Na,2p3/2,30.81
Mg,Mg,2s,88.7
Mg,Mg,2p1/2,49.78
Mg,Mg,2p3/2,49.5
Al,Al,1s,1559.6
Al,Al,2s,117.8
Al,Al,2p1/2,72.95
Al,Al,2p3/2,72.55
Si,Si,1s,1839.0
Si,Si,2p1/2,99.82
Si,Si,2p3/2,99.42
P,P,1s,2145.5
P,P,2s,189.0
P,P,2p1/2,136.0
P,P,2p3/2,135.0
S,S,1s,2472.0
S,S,2s,230.9
S,S,2p1/2,163.6
S,S,2p3/2,162.5
Cl,Cl,1s,2822.4
Cl,Cl,2s,270.0
Cl,Cl,2p1/2,202.0
Cl,Cl,2p3/2,200.0
Ar,Ar,1s,3205.9
Ar,Ar,2s,326.3
Ar,Ar,2p3/2,248.4
Ar,Ar,3s,29.3
Ar,Ar,3p1/2,15.9
Ar,Ar,3p3/2,15.7
K,K,1s,3608.4
K,K,2s,378.6
K,K,2p1/2,297.3
K,K,2p3/2,294.6
K,K,3s,34.8
K,K,3p1/2,18.3
K,K,3p3/2,18.3
Ca,Ca,1s,4038.5
Sc,Sc,1s,4492.0
Sc,Sc,2s,498.0
Sc,Sc,2p1/2,403.6
Sc,Sc,2p3/2,398.7
Sc,Sc,3s,51.1
Sc,Sc,3p1/2,28.3
Sc,Sc,3p3/2,28.3
Ti,Ti,1s,4966.0
V,V,1s,5465.0
Cr,Cr,1s,5989.0
Mn,Mn,1s,6539.0
Fe,Fe,1s,7112.0
Co,Co,1s,7709.0
Ni,Ni,1s,8333.0
Cu,Cu,1s,8979.0
Cu,Cu,2p3/2,932.7
Zn,Zn,1s,9659.0
Zn,Zn,2s,1196.2
Zn,Zn,2p1/2,1044.9
Zn,Zn,2p3/2,1021.8
Zn,Zn,3s,139.8
Zn,Zn,3p1/2,91.4
Zn,Zn,3p3/2,88.6
Zn,Zn,3d3/2,10.2
Zn,Zn,3d5/2,10.1
Ga,Ga,1s,10367.0
Ge,Ge,1s,11103.0
Ge,Ge,3s,180.1
Ge,Ge,3p1/2,124.9
Ge,Ge,3p3/2,120.8
Ge,Ge,3d3/2,29.8
Ge,Ge,3d5/2,29.2
As,As,1s,11867.0
As,As,3s,204.7
As,As,3p1/2,146.2
As,As,3p3/2,141.2
As,As,3d3/2,41.7
As,As,3d5/2,41.7
Se,Se,1s,12658.0
Se,Se,3s,229.6
Se,Se,3p1/2,166.5
Se,Se,3p3/2,160.7
Se,Se,3d3/2,55.5
Se,Se,3d5/2,54.6
Br,Br,1s,13474.0
Br,Br,2s,1782.0
Br,Br,2p1/2,1596.0
Br,Br,2p3/2,1550.0
Br,Br,3s,257.0
Br,Br,3p1/2,189.0
Br,Br,3p3/2,182.0
Br,Br,3d3/2,70.0
Br,Br,3d5/2,69.0
Kr,Kr,1s,14326.0
Kr,Kr,2s,1921.0
Kr,Kr,2p1/2,1730.9
Kr,Kr,2p3/2,1678.4
Kr,Kr,3s,292.8
Kr,Kr,3p1/2,222.2
Kr,Kr,3p3/2,214.4
Kr,Kr,3d3/2,95.0
Kr,Kr,3d5/2,93.8
Kr,Kr,4s,27.5
Kr,Kr,4p1/2,14.1
Kr,Kr,4p3/2,14.1
Rb,Rb,1s,15200.0
Rb,Rb,2s,2065.0
Rb,Rb,2p1/2,1864.0
Rb,Rb,2p3/2,1804.0
Rb,Rb,3s,326.7
Rb,Rb,3p1/2,248.7
Rb,Rb,3p3/2,239.1
Rb,Rb,3d3/2,113.0
Rb,Rb,3d5/2,112.0
Rb,Rb,4s,30.5
Rb,Rb,4p1/2,16.3
Rb,Rb,4p3/2,15.3
Sr,Sr,1s,16105.0
Sr,Sr,2s,2216.0
Sr,Sr,2p1/2,2007.0
Sr,Sr,2p3/2,1940.0
Sr,Sr,4p1/2,21.3
Y,Y,1s,17038.0
Y,Y,2s,2373.0
Y,Y,2p1/2,2156.0
Y,Y,2p3/2,2080.0
Y,Y,3p1/2,310.6
Y,Y,3p3/2,298.8
Y,Y,4s,43.8
Y,Y,4p1/2,24.4
Y,Y,4p3/2,23.1
Zr,Zr,1s,17998.0
Zr,Zr,2s,2532.0
Zr,Zr,2p1/2,2307.0
Zr,Zr,2p3/2,2223.0
Nb,Nb,1s,18986.0
Nb,Nb,2s,2698.0
Nb,Nb,2p1/2,2465.0
Nb,Nb,2p3/2,2371.0
Mo,Mo,1s,20000.0
Mo,Mo,2s,2866.0
Mo,Mo,2p1/2,2625.0
Mo,Mo,2p3/2,2520.0
Tc,Tc,1s,21044.0
Tc,Tc,2s,3043.0
Tc,Tc,2p1/2,2793.0
Tc,Tc,2p3/2,2677.0
Tc,Tc,3s,544.0
Tc,Tc,3p1/2,447.6
Tc,Tc,3p3/2,417.7
Tc,Tc,3d3/2,257.6
Tc,Tc,3d5/2,253.9
Tc,Tc,4s,69.5
Tc,Tc,4p1/2,42.3
Tc,Tc,4p3/2,39.9
Ru,Ru,1s,22117.0
Ru,Ru,2s,3224.0
Ru,Ru,2p1/2,2967.0
Ru,Ru,2p3/2,2838.0
Ru,Ru,3s,586.1
Rh,Rh,1s,23220.0
Rh,Rh,2s,3412.0
Rh,Rh,2p1/2,3146.0
Rh,Rh,2p3/2,3004.0
Pd,Pd,1s,24350.0
Pd,Pd,2s,3604.0
Pd,Pd,2p1/2,3330.0
Pd,Pd,2p3/2,3173.0
Ag,Ag,1s,25514.0
Ag,Ag,2s,3806.0
Ag,Ag,2p1/2,3524.0
Ag,Ag,2p3/2,3351.0
Ag,Ag,3d5/2,368.3
Cd,Cd,1s,26711.0
Cd,Cd,2s,4018.0
Cd,Cd,2p1/2,3727.0
Cd,Cd,2p3/2,3538.0
Cd,Cd,3s,772.0
Cd,Cd,3p1/2,652.6
Cd,Cd,3p3/2,618.4
Cd,Cd,3d3/2,411.9
Cd,Cd,3d5/2,405.2
Cd,Cd,4s,109.8
Cd,Cd,4d3/2,11.7
In,In,1s,27940.0
In,In,2s,4238.0
In,In,2p1/2,3938.0
In,In,2p3/2,3730.0
In,In,3s,827.2
In,In,3p1/2,703.2
In,In,3p3/2,665.3
In,In,3d3/2,451.4
In,In,3d5/2,443.9
In,In,4s,122.9
In,In,4d3/2,17.7
In,In,4d5/2,16.9
Sn,Sn,1s,29200.0
Sn,Sn,2s,4465.0
Sn,Sn,2p1/2,4156.0
Sn,Sn,2p3/2,3929.0
Sn,Sn,3s,884.7
Sn,Sn,3p1/2,756.5
Sn,Sn,3p3/2,714.6
Sn,Sn,3d3/2,493.2
Sn,Sn,3d5/2,484.9
Sn,Sn,4s,137.1
Sn,Sn,4d3/2,24.9
Sn,Sn,4d5/2,23.9
Sb,Sb,1s,30491.0
Sb,Sb,2s,4698.0
Sb,Sb,2p1/2,4380.0
Sb,Sb,2p3/2,4132.0
Sb,Sb,3s,946.0
Sb,Sb,3p1/2,812.7
Sb,Sb,3p3/2,766.4
Sb,Sb,3d3/2,537.5
Sb,Sb,3d5/2,528.2
Sb,Sb,4s,153.2
Sb,Sb,4d3/2,33.3
Sb,Sb,4d5/2,32.1
Te,Te,1s,31814.0
Te,Te,2s,4939.0
Te,Te,2p1/2,4612.0
Te,Te,2p3/2,4341.0
Te,Te,3s,1006.0
Te,Te,3p1/2,870.8
Te,Te,3p3/2,820.0
Te,Te,3d3/2,583.4
Te,Te,3d5/2,573.0
Te,Te,4s,169.4
Te,Te,4d3/2,41.9
Te,Te,4d5/2,40.4
I,I,1s,33169.0
I,I,2s,5188.0
I,I,2p1/2,4852.0
I,I,2p3/2,4557.0
I,I,3s,1072.0
I,I,3p1/2,931.0
I,I,3p3/2,875.0
I,I,3d3/2,630.8
I,I,3d5/2,619.3
I,I,4s,186.0
I,I,4p1/2,123.0
I,I,4p3/2,123.0
I,I,4d3/2,50.6
I,I,4d5/2,48.9
Xe,Xe,1s,34561.0
Xe,Xe,2s,5453.0
Xe,Xe,2p1/2,5107.0
Xe,Xe,2p3/2,4786.0
Xe,Xe,3s,1148.7
Xe,Xe,3p1/2,1002.1
Xe,Xe,3p3/2,940.6
Xe,Xe,3d3/2,689.0
Xe,Xe,3d5/2,676.4
Xe,Xe,4s,213.2
Xe,Xe,4p1/2,146.7
Xe,Xe,4p3/2,145.5
Xe,Xe,4d3/2,69.5
Xe,Xe,4d5/2,67.5
Xe,Xe,5s,23.3
Xe,Xe,5p1/2,13.4
Xe,Xe,5p3/2,12.1
Cs,Cs,1s,35985.0
Cs,Cs,2s,5714.0
Cs,Cs,2p1/2,5359.0
Cs,Cs,2p3/2,5012.0
Cs,Cs,3p1/2,1071.0
Cs,Cs,3p3/2,1003.0
Cs,Cs,3d3/2,740.5
Cs,Cs,3d5/2,726.6
Cs,Cs,4s,232.3
Cs,Cs,4p1/2,172.4
Cs,Cs,4p3/2,161.3
Cs,Cs,4d3/2,79.8
Cs,Cs,4d5/2,77.5
Cs,Cs,5s,22.7
Cs,Cs,5p1/2,14.2
Cs,Cs,5p3/2,12.1
Ba,Ba,1s,37441.0
Ba,Ba,2s,5989.0
Ba,Ba,2p1/2,5624.0
Ba,Ba,2p3/2,5247.0
Ba,Ba,3d3/2,795.7
Ba,Ba,3d5/2,780.5
Ba,Ba,4s,253.5
Ba,Ba,4p1/2,192.0
Ba,Ba,4p3/2,178.6
Ba,Ba,4d3/2,92.6
Ba,Ba,4d5/2,89.9
Ba,Ba,5s,30.3
Ba,Ba,5p1/2,17.0
Ba,Ba,5p3/2,14.8
La,La,1s,38925.0
La,La,2s,6266.0
La,La,2p1/2,5891.0
La,La,2p3/2,5483.0
La,La,3d3/2,853.0
La,La,3d5/2,836.0
La,La,4s,274.7
La,La,4p1/2,205.8
La,La,4p3/2,196.0
La,La,4d3/2,105.3
La,La,4d5/2,102.5
La,La,5s,34.3
La,La,5p1/2,19.3
La,La,5p3/2,16.8
Ce,Ce,1s,40443.0
Ce,Ce,2s,6549.0
Ce,Ce,2p1/2,6164.0
Ce,Ce,2p3/2,5723.0
Ce,Ce,3d3/2,902.4
Ce,Ce,3d5/2,883.8
Ce,Ce,4s,291.0
Ce,Ce,4p1/2,223.2
Ce,Ce,4p3/2,206.5
Ce,Ce,4d3/2,109.0
Ce,Ce,4f5/2,0.1
Ce,Ce,4f7/2,0.1
Ce,Ce,5s,37.8
Ce,Ce,5p1/2,19.8
Ce,Ce,5p3/2,17.0
Pr,Pr,1s,41991.0
Pr,Pr,2s,6835.0
Pr,Pr,2p1/2,6440.0
Pr,Pr,2p3/2,5964.0
Pr,Pr,3s,1511.0
Pr,Pr,3p1/2,1337.0
Pr,Pr,3p3/2,1242.0
Pr,Pr,3d3/2,948.3
Pr,Pr,3d5/2,928.8
Pr,Pr,4s,304.5
Pr,Pr,4p1/2,236.3
Pr,Pr,4p3/2,217.6
Pr,Pr,4d3/2,115.1
Pr,Pr,4d5/2,115.1
Pr,Pr,4f5/2,2.0
Pr,Pr,4f7/2,2.0
Pr,Pr,5s,37.4
Pr,Pr,5p1/2,22.3
Pr,Pr,5p3/2,22.3
Nd,Nd,1s,43569.0
Nd,Nd,2s,7126.0
Nd,Nd,2p1/2,6722.0
Nd,Nd,2p3/2,6208.0
Nd,Nd,3s,1575.0
Nd,Nd,3p1/2,1403.0
Nd,Nd,3p3/2,1297.0
Nd,Nd,3d3/2,1003.3
Nd,Nd,3d5/2,980.4
Nd,Nd,4s,319.2
Nd,Nd,4p1/2,243.3
Nd,Nd,4p3/2,224.6
Nd,Nd,4d3/2,120.5
Nd,Nd,4d5/2,120.5
Nd,Nd,4f5/2,1.5
Nd,Nd,4f7/2,1.5
Nd,Nd,5s,37.5
Nd,Nd,5p1/2,21.1
Nd,Nd,5p3/2,21.1
Pm,Pm,1s,45184.0
Pm,Pm,2s,7428.0
Pm,Pm,2p1/2,7013.0
Pm,Pm,2p3/2,6459.0
Pm,Pm,3p1/2,1471.0
Pm,Pm,3p3/2,1357.0
Pm,Pm,3d3/2,1052.0
Pm,Pm,3d5/2,1027.0
Pm,Pm,4p1/2,242.0
Pm,Pm,4p3/2,242.0
Pm,Pm,4d3/2,120.0
Pm,Pm,4d5/2,120.0
Sm,Sm,1s,46834.0
Sm,Sm,2s,7737.0
Sm,Sm,2p1/2,7312.0
Sm,Sm,2p3/2,6716.0
Sm,Sm,3s,1723.0
Sm,Sm,3p1/2,1541.0
Sm,Sm,3p3/2,1420.0
Sm,Sm,3d3/2,1110.9
Sm,Sm,3d5/2,1083.4
Sm,Sm,4s,347.2
Sm,Sm,4p1/2,265.6
Sm,Sm,4p3/2,247.4
Sm,Sm,4d3/2,129.0
Sm,Sm,4d5/2,129.0
Sm,Sm,4f5/2,5.2
Sm,Sm,4f7/2,5.2
Sm,Sm,5s,37.4
Sm,Sm,5p1/2,21.3
Sm,Sm,5p3/2,21.3
Eu,Eu,1s,48519.0
Eu,Eu,2s,8052.0
Eu,Eu,2p1/2,7617.0
Eu,Eu,2p3/2,6977.0
Eu,Eu,3s,1800.0
Eu,Eu,3p1/2,1614.0
Eu,Eu,3p3/2,1481.0
Eu,Eu,3d3/2,1158.6
Eu,Eu,3d5/2,1127.5
Eu,Eu,4s,360.0
Eu,Eu,4p1/2,284.0
Eu,Eu,4p3/2,257.0
Eu,Eu,4d3/2,133.0
Eu,Eu,4d5/2,127.7
Eu,Eu,4f5/2,0.0
Eu,Eu,4f7/2,0.0
Eu,Eu,5s,32.0
Eu,Eu,5p1/2,22.0
Eu,Eu,5p3/2,22.0
