Atom,Orbital,Mean Energy
B,1s,195.749609375
C,1s,291.8558726239662
F,1s,693.6607373913043
Li,1s,64.64
Mg,1s,1311.3333333333333
N,1s,406.23225943396227
Na,1s,1078.7
Ne,1s,870.2966666666666
O,1s,539.2427730357822
P,1s,2154.108888888889
S,1s,2484.1
Si,2p,107.3601030927835
Al,2p3/2,80.21000000000001
Ar,2p3/2,248.62
As,2p3/2,1330.1
Ca,2p3/2,356.0
Cl,2p3/2,206.4855149812734
Co,2p3/2,786.0546666666667
Cr,2p3/2,583.0769736842105
Cu,2p3/2,941.15
Fe,2p3/2,715.1318686868686
K,2p3/2,300.7
Mg,2p3/2,57.245000000000005
Mn,2p3/2,647.975
Ni,2p3/2,860.955
P,2p3/2,139.14484929078014
S,2p3/2,171.62208994708996
Se,2p3/2,1441.4
Si,2p3/2,110.14
Ti,2p3/2,466.3875
V,2p3/2,522.7375
Zn,2p3/2,1030.05
Ar,2s,326.37
Ca,2s,447.5
Cl,2s,278.0716326530612
Mg,2s,96.5
Na,2s,70.86
Ne,2s,48.47
P,2s,196.4576923076923
S,2s,235.10842105263157
As,3d,54.8
Ge,3d,37.786385542168674
Se,3d,61.493
Ag,3d5/2,375.55
Ba,3d5/2,788.1
Br,3d5/2,77.40784615384615
Cd,3d5/2,412.0625
Cs,3d5/2,731.6766666666667
Ga,3d5/2,25.61
I,3d5/2,626.296875
Kr,3d5/2,93.75
Mo,3d5/2,238.38333333333333
Rh,3d5/2,314.28
Sb,3d5/2,535.74
Sn,3d5/2,492.6673333333333
Sr,3d5/2,142.45
Te,3d5/2,580.59
Xe,3d5/2,681.1196666666667
Zn,3d5/2,16.842
Cd,3p,624.9
Co,3p,66.4
Cu,3p,64.9
Ni,3p,73.5
Ti,3p,45.266666666666666
Br,3p3/2,190.08444444444444
Ca,3p3/2,34.32
Cs,3p3/2,1005.0
Kr,3p3/2,214.38333333333335
Rb,3p3/2,245.4
Sr,3p3/2,278.1
Xe,3p3/2,940.6
Zn,3p3/2,96.1
As,3s,212.23333333333332
Br,3s,264.27
Co,3s,108.5
Cu,3s,129.6
Kr,3s,292.8
Ni,3s,118.2
Xe,3s,1148.7
Te,4d,46.5475
Ba,4d5/2,98.4
Cd,4d5/2,17.124
Hg,4d5/2,366.0
I,4d5/2,57.0
In,4d5/2,23.84
Sn,4d5/2,32.08107142857143
Xe,4d5/2,70.21333333333334
Bi,4f7/2,165.56666666666666
Hg,4f7/2,107.570625
Pb,4f7/2,143.8
Re,4f7/2,49.05
Tl,4f7/2,125.75
U,4f7/2,392.86
W,4f7/2,40.237
Hg,4p3/2,583.8
I,4p3/2,129.9
Sr,4p3/2,28.21
Xe,4p3/2,145.505
Hg,4s,809.4
I,4s,194.26000000000002
Xe,4s,213.26
Hg,5d5/2,14.868333333333334
Pb,5d5/2,24.775
Hg,5p3/2,71.7
Hg,5s,134.0
