Atoms,Embeddings
B,"[ 0.88687074  0.9745445  -0.2904831  -0.2192995   1.4828826   0.9476138
  0.5558893  -0.03935044  1.2740846  -0.2816637  -0.03160551 -0.72558093
  0.0203629  -0.63723236  0.03165742 -0.36670977  1.0194024  -0.8371154
 -0.19404717  0.17246307 -0.5627645   0.0483183  -0.57862294  0.1549089
 -0.7123231  -0.35731673  0.18576579 -0.12223919  0.9473405   0.326679  ]"
C,"[ 0.04788971  0.5447345  -0.05471614 -0.06878355  1.0331593   0.1699985
 -0.6132564  -0.5492103   0.91942924  0.01452054 -0.13212074 -0.8955952
  0.6072066  -0.6399059   0.16046718 -0.92421323 -0.6406553  -0.68128324
  0.3066445   0.19984177 -0.26231065  0.67303413 -0.24403514 -0.14023158
 -0.51323915 -0.9925543   0.12014212 -0.1837346   0.2814715   0.5248927 ]"
F,"[ 0.6677989  -0.505292   -1.0784118  -0.06282245 -0.45965302 -0.8367553
 -0.88079697  0.32480603 -0.78208274 -0.00366566 -0.3569348  -0.77458525
 -0.3324197   1.0750853   0.39277938 -0.445428   -0.5700442  -0.707929
 -0.4231485   1.0250809  -0.65637016  0.24594799  0.45923674  0.3925626
  0.31823614  0.54604065  0.52221465  0.97884774  0.13077551 -0.53425044]"
Li,"[-0.7573922  -1.2240294   1.4006515   0.48165748 -0.01151429  0.15577532
  0.54457104  1.004348    0.8779233   0.16844988  0.27715313 -1.3066254
 -0.22931275 -0.49314177  0.52875656  0.13414346  0.03864758  0.4437606
 -0.02542251 -0.5362258   0.03128333 -0.1291826  -0.3007812  -0.31710833
 -0.24892308 -0.01420932  0.22951084 -1.7595134   0.58609545  0.40765402]"
Mg,"[-0.783046   -0.19136381  0.31751508 -0.08031799 -0.19466792  0.28161302
  0.57832813 -0.48457277  0.42817482  0.08863141 -0.42971355  0.24898586
 -0.76496047 -0.38831365  0.21915084 -0.1985624   0.66660124 -0.06431803
  0.5816691   0.5224558   0.24574643 -0.6710803  -1.0392474   0.2951076
  0.1067827  -0.7550926   0.42235622 -1.2377032   0.5671038  -0.07510222]"
N,"[-0.1986226  -0.3028122   0.02120103 -0.56423134  0.7868269  -0.313135
 -0.09955411 -0.21070187 -0.7367732   0.1501023  -0.42211524 -0.7740901
 -0.2901659  -0.29356688 -0.18328449 -0.6310794  -0.9090688   0.08831992
 -0.34870905  0.884148   -0.08193707  0.11015293 -0.63675034  0.31202573
 -0.08655175 -0.97426    -0.05926595  0.57428026  0.4376006  -0.23135349]"
Na,"[-0.8888129  -1.5163903   1.6559768   0.99257153  0.46271104 -0.5835242
  0.54601526  0.7680739   0.60726     0.96851844 -0.60726535 -0.46554294
 -0.28153083 -0.31334254  0.319767   -0.32963687  0.3662485   1.0294219
  0.21781226 -0.7949607  -0.05872461  0.33044732 -0.5106475  -0.5258095
 -0.4811374  -0.03415779 -0.50261164 -1.2245629  -0.59254956 -0.03683428]"
Ne,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]"
O,"[ 0.56372297 -0.09760372 -0.48347795 -0.23219779  0.0451543  -0.11439519
 -0.46060836  0.27767172 -0.70260733  0.45754555 -0.05343843 -0.17815696
  0.01732723  0.5499467   0.08937467 -0.5011957  -0.66611665  0.2266148
 -0.66377354  0.91011477 -0.40696868 -0.4012298  -0.11530405  0.61004263
  0.03092052 -0.45366853  0.0890165   0.54218525  0.10954657 -0.38647684]"
P,"[-0.26765278  0.09207863  0.8717978  -0.17224173  1.1807098   0.42058855
 -0.22461244  0.30835393  0.11295488  0.6769129  -0.7627171  -0.37655652
  0.24296291 -0.77195454 -0.64408183 -0.17534372  0.1559654  -0.24015641
  0.49365056 -0.52673465  0.9774223  -1.055007   -0.704184    0.34592435
 -0.5627603  -0.05036062  0.24228963  0.85490507  0.50775605  0.20033783]"
S,"[-0.20494097  0.32787034 -0.41324592  0.08928488  0.34099674 -1.048097
 -0.46607223  0.49776983 -0.12562637  0.54982305  0.19352168 -0.5527105
 -0.4798057  -0.02560101  0.10769224 -0.06216015 -0.07365292  0.49307513
  0.5711436  -0.21866862 -0.01588134 -1.4164771   0.26658154  0.15242642
  0.34387827 -0.73778194 -0.0783544   0.37253642  0.698418    0.19975372]"
