Atoms,Orbital,Embeddings
B,1s,"[ 0.9210504   0.8125362  -0.16044885 -0.24557185  1.4680175   0.67437255
  0.5922397   0.1642653   1.05562    -0.16915138 -0.08523446 -0.63772875
  0.16071238 -0.524024   -0.04111843 -0.2387733   0.97210944 -0.71799743
 -0.22376342  0.16131142 -0.582944    0.05697513 -0.4144279   0.08073338
 -0.6490507  -0.22015621 -0.03603747 -0.17157023  0.83734304  0.185448  ]"
C,1s,"[ 0.05185003  0.5324746  -0.06851304  0.05055293  0.7918943   0.14942539
 -0.68190277 -0.513937    0.9465135   0.01892203 -0.03373655 -0.7154856
  0.6467982  -0.502699    0.20245323 -0.7907192  -0.5636299  -0.6351912
  0.34831735  0.04671393 -0.21939589  0.6706799  -0.06413674 -0.18755744
 -0.44387296 -0.8007549   0.11100641 -0.29677892  0.12794939  0.5345295 ]"
F,1s,"[ 0.578018   -0.4846863  -0.94239765 -0.02763565 -0.503637   -0.71866816
 -0.7204783   0.22519329 -0.5886513  -0.09853175 -0.38882992 -0.6941878
 -0.2803867   0.9688996   0.35475385 -0.32160512 -0.4353859  -0.7204591
 -0.29623342  0.8838009  -0.57180697  0.38088614  0.499209    0.25084963
  0.27730322  0.7129481   0.5290161   0.798222    0.07976502 -0.40838176]"
Li,1s,"[-0.5980598  -0.8863493   1.0334429   0.3455266  -0.15873727  0.20656306
  0.47089982  0.888985    0.6926224  -0.10032209  0.36942327 -1.2068963
 -0.08805484 -0.354996    0.4997035   0.20435171 -0.1008186   0.2724293
 -0.14245337 -0.36104298 -0.0230395  -0.21159141 -0.11761676 -0.17764388
 -0.08337714 -0.01711407  0.29571474 -1.5182574   0.5884502   0.42565978]"
Mg,1s,"[-0.8592068  -0.03446504  0.10278597  0.03529927 -0.28445882  0.10929574
  0.69033515 -0.38848037  0.2965535  -0.12026945 -0.48250017  0.32345262
 -0.58125925 -0.23145138  0.33952186 -0.18938348  0.5321389  -0.07649539
  0.42420763  0.6419418  -0.02729225 -0.78009844 -0.9346742   0.47012374
  0.28358275 -0.7816289   0.33197808 -1.1895189   0.2931122  -0.02343534]"
N,1s,"[-0.30999038 -0.33088607  0.10312372 -0.50933236  0.6699913  -0.30190146
  0.04719099 -0.2361131  -0.6700046   0.03666745 -0.38724265 -0.6625765
 -0.34080592 -0.3335294  -0.19727184 -0.45586523 -0.7287018   0.09629301
 -0.25226003  0.7047106  -0.00255831  0.18214002 -0.58025223  0.19235966
 -0.03663461 -0.7972299  -0.09308134  0.45734617  0.37486395 -0.19985189]"
Na,1s,"[-0.65072274 -1.280047    1.3007725   0.84111965  0.501759   -0.5968359
  0.437048    0.6321963   0.4259021   0.8714277  -0.61574936 -0.18245271
 -0.23473181 -0.21137947  0.15561058 -0.42071483  0.33444735  0.9430768
  0.23901014 -0.7143736  -0.07965194  0.32516137 -0.44749263 -0.46875176
 -0.43245152  0.01054838 -0.4891263  -0.81922966 -0.6563135  -0.11115199]"
Ne,1s,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]"
O,1s,"[ 0.5898434  -0.00167273 -0.42510384 -0.12926963 -0.06624686  0.02774497
 -0.39878666  0.29495278 -0.5187203   0.4444919   0.04564169  0.02435444
  0.12458342  0.5441842   0.09755031 -0.38316905 -0.48270085  0.2545193
 -0.60662156  0.71420807 -0.3651364  -0.42917144 -0.04307127  0.5495893
  0.00811644 -0.32235616  0.0731106   0.375926    0.00800587 -0.3172064 ]"
P,1s,"[-0.06231216  0.0781383   0.8537959  -0.16678254  1.1030515   0.22938567
 -0.2718263   0.19200073  0.14347687  0.58394134 -0.55222934 -0.17312731
  0.17546067 -0.71722746 -0.6482529  -0.11954014  0.05318574 -0.2545409
  0.17906947 -0.5904659   0.8365401  -0.85686725 -0.54120815  0.24422614
 -0.7727873  -0.15015878  0.16786958  0.5344274   0.43017864  0.12225813]"
