Li,1s,"[30.827045198715247, 255.71096096731597, 172.58825165087717, -170.24124928039188, 152.66615424869957, 12.565734881481026, 0.3271258958128842, -41.056053928216066, 100.3151827939381, -157.95283222107406, 76.0426995944576, -33.55626295419423, -102.02652044345452, -185.44158560898666, 85.17926572970906, -117.20228467502314, 178.85696337711016, 133.97854837687808, 15.143537727199249, 111.19658485828614, 208.01035647902128, 16.468824204204477, 42.27445191150178, -91.19454184678108, 196.16697399256762, 75.26057180984479, -5.035811932654817, -20.146928614315293, -135.19133871395246, -29.752861454909528, 79.64289231022293, -10.628207703979141, -34.00959856789733, -54.46849252382783, 44.50546982219933, -96.5662661852045, -36.68281843184391, -80.14491635842002, -40.25694363327426, 60.46523696409519, 103.22032088568899, -89.47304399055969, 14.925243023247331, 54.47057903591825, 93.14010406499843, 129.46116605510602, 81.74919430023037, -280.261820552294, -96.40380461666457, -11.661162719234143, -8.203760341356682, -110.90951935258467, -91.5555071078542, -67.02715252919536, -85.95232537548993, 71.72792153137964, 109.22100792688013, 23.904930979312194, -71.0978570440878, -33.36315903224706, 69.0656339034885, -114.30941290524633, -29.99590249711889, 214.11678802311684, 86.14941504260695, -15.244730741093536, 18.292416837405565, -172.1555561156644, 58.419017907304614, 190.39785656201374, 52.996439174876734, -135.15070178770054, 177.21213406013257, -40.72064204420026, -76.7303465973534, 92.88594734514949, -17.432316490265414, 24.96726845332335, -60.960185895800514, 135.2375596323321, -107.39820797527753, 23.815227476385434, -208.4881258104237, 19.223147846647095, 45.458819595524844, -126.7174700106504, 44.826701348694215, -66.03077108522889, -46.55883677216909, 67.44752997977682, 164.9554758767772, 334.47223119438394, -286.8982391494563, -78.8611451712731, 13.748440113573762, -10.820973035851695, -60.15367937700089, 50.31048984629991, 23.206479048684432, -133.33941411931164, -110.44643690792324, 39.51689869745495, 91.87053714958915, -32.89586821095988, 34.20484756998252, 26.044735146227747]"
B,1s,"[-35.74774110351309, 280.15972692434804, -63.17367621038737, -184.09651660563043, 96.31638045258002, -102.9584384008238, -20.2812415327116, -14.795243642914313, 60.768909633882295, -150.17605943774277, -77.37462475768895, 133.6989460869379, 64.56146165298956, -11.743228055520474, -30.985840838731562, -11.838340136188839, 95.28148134660994, -35.77392386572116, -70.32377938127844, -139.1848468915191, 33.96303159385664, 32.35648224066931, -25.704225754240614, -183.92014872856353, -91.41929822170952, 74.52189843399225, -58.993667414755265, 32.59397988613871, -75.63711545927565, 0.26031959339384514, 113.19439355662942, 87.06833261265616, -7.427328294034298, -57.579920734825144, -15.461371324395957, -36.28894894821703, 31.545310600081148, -202.65970169875226, -35.930133069522135, 67.08171104783935, -30.497918652171574, -3.46860798252299, 58.763103397226665, -80.56076857084203, 31.1837709838798, 169.84247189961235, -21.255295650285547, -107.61861521795319, -11.65523811190142, 132.57817078101849, 56.403283010910556, -32.17689381103611, -28.01922054323773, -25.241240792239427, -37.896391024549544, -210.7650194891673, -33.46133106276183, -196.9263626415301, 115.43243802449331, -30.63405736314812, 76.79762147170175, 84.03180811883144, -84.82522116417533, -11.038569704923713, 5.264531412928012, 88.24725399182297, 94.5041819862093, -136.34744658607184, -250.37035406870754, -122.79804149734922, 53.50123789199776, 88.69842934785551, 275.53905026934586, 240.8554098043396, 112.2801388397615, -108.35367103551796, 88.74959762633382, 126.47049726827969, -68.49218286941279, 84.14723527369405, -51.24553816695937, 23.445452224231982, 53.37046697895552, 81.19191397213423, -60.126073617781365, 90.52386862879494, -12.203183477006586, -42.410751724156555, -18.27736823160119, 65.80752038119957, 29.1381227670302, -28.267189368966765, -91.09346827139488, -89.79070413581293, 151.60059785209143, 39.434262438632615, 8.691776811440821, 65.27511403472248, -21.44556500882205, -117.9282388650982, -48.056085146327824, 26.227590492286286, 51.10565135581543, -149.13409158881944, 26.366392373049624, 58.54458309543442]"
C,1s,"[-102.48991027766824, -10.429479592130841, 130.29604291960658, -102.4171352084042, -139.18260932211675, 6.3161331897761315, -31.082188155138493, 17.992731608876852, -118.31123988735038, 78.84881085305406, 55.635214402316905, -123.53042491453334, -87.56551436806346, 0.807831115879827, -15.621393420242496, -136.16837755119337, 36.22613674419362, -13.2732425169615, 21.572622200185926, 31.769236458366787, 0.8258176928590553, 66.60557473186827, -100.18325916134246, -78.15686580303985, 81.75765203425571, 126.16696518646776, 48.058483581029584, 184.65116764430414, 63.99971007026145, 143.04431463596262, -5.796788400190849, -153.52187452354875, 43.157153315101674, 22.239019077249242, -55.97646453601247, 11.39955233070844, -57.70232265274157, 30.938236058285167, 187.69002788008027, 111.62419512150876, 17.78481897530687, -49.21458158119766, -114.88126088125917, 30.207580383968942, 117.3968545684107, -8.838936479726128, -105.84812139962852, 34.42111344182501, 69.83182411261541, 156.64238642211225, 136.95513012927293, 32.76765924582314, -101.32378935106749, 132.47774458387298, -162.2777042418467, 41.83837118922629, -113.5187112654816, 84.18351533925748, -195.41467318776105, -26.853701081809493, 79.70953669986129, -127.85389205877303, 133.77297372576132, -51.05853508217305, -76.72327159678244, 10.53239185449352, -6.787824096602187, 120.97138605705604, -59.17998771509466, -166.8304326642633, -132.51655175973804, -215.0365994945362, 158.0282595207101, 118.07498079657616, 89.6767621098829, -124.2340710011911, -21.609871660501547, 49.163938169741755, -90.01933799357505, -5.569814129294967, -103.95321205998508, -163.19949477016578, 154.4279279009007, 104.39075411987814, -10.075304621736098, 27.817684129215582, -341.5351341234855, -45.17873832159101, 27.59750501548362, -42.15217791663275, 99.19799394494953, -26.2704376042764, 31.87959599109543, -138.15187154246982, -15.791195958545634, -143.55490789396748, -156.90353415162875, -83.54378968557414, 114.5820574562268, -111.50288290050776, -124.2042539490721, -250.53571147861362, 13.049555824117878, 100.37880911939594, -29.648971633538267, 24.588204281721488]"
N,1s,"[-64.7960674605176, 50.962036898163205, -58.09496292500457, -61.2811642868226, 41.734319196547055, -73.4223244173238, -118.33958960584803, -61.2033913315097, -56.49793116310867, -59.92823041815478, 36.8697043417436, -202.87116467708913, 30.787011778706837, -92.1917171335294, 13.583511952143729, -20.685094531209703, 189.07616974244215, 33.53534715128396, 109.39669036949128, 112.79246629071984, 12.84331493265943, 6.181460462217858, -13.101728399602987, 9.014307909510133, -156.94421636132435, 2.3418112342773485, 19.86667395973218, 53.908559894535784, 162.35704961700804, -136.96382053838053, 31.95656108735197, -145.7373392121487, -109.09066977250332, -77.11466541066542, 5.676669486515534, 92.00511133013978, -80.6215269219875, -118.80520564702213, -182.9053254257018, 76.10750388226673, 59.13025141356528, 160.53807744839744, 31.277713371212425, -140.68654386471042, -19.828083293688902, 61.66929192564893, 33.97811327526783, -110.83638388080391, -215.7664868642975, 86.98823267059066, 87.83857837917839, 218.6067724361472, -98.59508266965852, -28.132509202198335, -31.48889960887025, -221.24318500083675, -84.05436473115883, -128.07613291138367, 211.60522329482902, -139.03950891742798, 221.27558587703143, -317.026568894896, 13.347407302869435, -96.66140303124278, 43.40026057340747, -26.308834633150507, 163.6133522018804, 9.301425406621894, -39.49915278700289, -91.46166533682769, 72.91339480773976, 76.12934773758998, -84.01549252532887, -27.64931298239005, 160.43743401539456, -10.472090884757666, 150.62756983390076, 17.111835660091476, 56.28095669185378, 27.985192050936494, -17.602614441214993, -94.58410250832495, -22.28167639234956, -166.32377255644394, -45.036533202031706, -185.20018143608837, -53.76749205965256, -110.8149617542424, -146.67584189609258, -162.6485164996302, 98.81345424400814, 160.66495953556625, 85.3151393182571, 42.53182363675646, -6.619922783846883, 14.682791949853947, -52.5053034474516, -43.51129078579241, -1.929298904092098, 47.739114515872615, 79.10410790000549, -21.781351548082796, 90.56774440800113, 24.81443933711741, -156.28392896592425, -91.49043994726979]"
O,1s,"[118.10914753700062, -109.93226588181277, 202.2892561475586, 112.90331546180357, 69.88318513135896, 22.279173162253947, -15.89161985484294, 4.413706034847742, -32.00668817434383, -90.23404979324509, -27.08226862055505, -290.661166825816, -89.54725485999785, 79.54197721790948, 138.50904072578393, 123.29422520264917, 56.713493501749525, -14.503692696903721, -202.48390406207213, -20.160027747353002, 201.2759512601461, -161.0653780930278, -35.876122109132744, -334.05436330202116, -12.310994020058372, 68.7818647572832, -51.73722408327811, -3.552434198916416, -19.0008649644457, -50.19824383873546, -16.831330593885866, 39.66091722805279, 40.9846945142969, 14.127203946833044, 129.21381669828472, -164.2032153754425, 65.35541075571834, 17.124746545852812, -128.55903529861652, -158.7214184646327, -2.2173519049193753, -53.8175244780269, -2.9300914189706844, -105.90716814217501, 15.167343438541192, -71.71839290534363, -29.756444955769666, 31.231794898472753, -109.70789182408411, 31.96122075094447, -2.9210998792825458, -82.64740032845063, -92.90299129131868, 58.578721696920034, -54.97486411963894, -20.77191834530631, -186.5221622584095, 230.57716645869232, -94.32468709100046, -74.96304894696028, -43.318036704524815, -61.05237957228188, 64.49887384616684, 3.685165323113488, -159.11551865702492, -123.0532743749683, -4.237103848567302, -26.797718849992933, 86.79179620597492, 52.2010568098621, 124.80275254617656, 85.85119561585297, 149.6222903098158, -117.3329956948015, 145.6624970447391, -218.13452457598012, -111.74596687486743, 63.664762232208524, 29.57103871952881, -77.22541858082631, -38.8057285976058, 99.04468654336824, 176.00675673929308, 193.8005906781064, 67.39316835843454, 131.84559860461448, -56.301839655913675, 252.0786289424919, 36.24625503667406, 38.2156579055612, 24.11502809390878, -116.48024602193105, 21.496064104060935, -145.5195654968311, -29.365877401087474, 184.9996738848101, -113.209796464449, 262.42248291017995, -19.593447634876206, 82.3737514830623, 52.06001917220078, -32.44173865908905, 30.802221659458834, -186.41010907320032, 3.4024000565452948, -112.9963871505412]"
F,1s,"[-50.081809057497324, -80.93767219215468, 12.708789176462075, 86.15432421723648, -112.4588692158082, 11.347224124006269, -24.862152525715846, -82.35318133248028, 135.51997256081725, 52.168315034809346, 46.50526504406888, -37.01404429525829, -58.7719939047866, -139.54047177603135, -134.90901787631367, -105.6355042440479, 46.03423906401624, -118.89081124310167, 33.79518484643097, 125.55583595389207, -68.28845214465733, 8.28083108208322, 215.98096015291708, 20.338590367456934, -130.68912328828023, -77.3793343796023, 28.537767679466253, -66.72050487316889, 21.95675166743631, 129.35663501958783, -182.9291053003858, 37.7519377461374, 69.371592741633, 244.12316390119918, 23.869479130671614, -10.077170062981182, 139.96370131789368, 110.32489886014218, -15.491640861004454, -17.007148204845652, 128.79916398834925, 136.62837977464858, 93.85767600242251, -137.18076714468913, 67.08732048783772, 27.878781296980797, -103.60009731098924, 24.17878228901197, -93.02944773157705, 98.00073602848167, -169.48279793899167, 20.762622473652883, 6.205939845342718, 63.36051122797625, 10.25211209909166, 78.47147654343566, -110.99525322410233, -132.99227390393872, 134.68162198846326, -96.6441147208808, -200.03572316273855, -102.23441068340739, -49.026818695216726, -53.52065397897073, 250.2784357321717, -5.069157904534924, -92.45189084896639, -1.0129828755505317, 82.15674707795897, 102.2446781613051, 30.834712248302704, 4.156331209814778, -55.95316162706057, -135.81879408414719, -34.25090772551842, -14.854511456820434, -33.5670840017245, 105.12007269583114, -21.815146240898393, -241.37876144240855, 215.89117339354172, 124.5302629239862, -145.42460499665373, 95.81272600090031, -184.33241464810916, -56.6053045538825, -97.69596496282186, 82.22679466942691, 133.06368772008094, 40.791793622807525, 61.038075884514754, -73.5903718019667, 78.43818874901939, 31.84559379560373, -89.43002755144742, -5.496780691721549, -5.92725299581349, -98.76071541624012, 57.29066137290417, -5.029534876298306, 43.34194404262024, 115.54051004517912, 95.07592213657198, 30.913098256961394, -118.26985202458607, 218.04411594451787]"
Ne,1s,"[3.4373362879329417, -2.5557564347740405, -72.57428425777545, -10.177223708381232, -42.02953780645479, -69.22576544116598, 191.7423914511567, -13.236518775747955, 36.00754731999709, 46.41181484826269, 141.40780091344664, 35.508267600800984, 33.00613703487282, -10.428774071388817, 17.164699780641357, -230.12070416186913, -52.17994192933973, 21.874707513277535, -115.79634948851918, -1.4335880452301473, 207.26762106397703, 138.24796272746815, -59.62789759300555, -98.54394875124053, 30.835556081769568, 97.20882541226767, -46.88582548541903, -119.46180977910745, -196.48520528341237, 224.7794165741376, -36.565912161331475, -122.03563747407776, 8.173546470758843, -111.72185712851919, -159.21220059326777, -21.64144974707054, 126.65005716801593, -112.76988781134553, -267.59099474986544, -31.10696933885237, -165.25910466488364, 142.36017191159806, -33.63957093072392, 104.41578077721974, -37.637694245675505, -7.30859135197362, -114.37895331340737, 167.86386750462586, 54.330426159564404, 92.2287853645525, 109.0042691483234, -123.04240267156628, -327.45292672260155, -62.11332095129504, 8.05431999318896, 77.08899307371559, -77.00336925009553, -40.72974091343467, -129.81850457520656, -135.61472469253616, 35.402751917775504, -28.17904640139018, -291.40042455048166, 70.08602681537744, 31.92176174615813, 55.82217713082984, -23.031863887574037, -71.57694922732732, -123.28085124870614, -30.257861246090044, -126.01235634358275, -82.98423225853755, -10.26201500091007, -167.7171069814385, 60.67747799501607, 124.53654764963866, -179.38070704636405, -102.08237476273096, -36.007928047703864, -222.55791241667544, 80.16361194120151, -28.12957928917866, 59.12119147405471, -94.69550669709034, -112.91618313418388, -123.43078789961491, -73.0963798464095, 116.83561621454544, 98.25850426260244, -94.56020198884329, -130.99561022398441, 62.70019218166926, -198.00099492572144, 156.28471421215409, -8.905691707439122, -115.17756400480843, -114.11011005881355, -190.71272021242208, -116.98030819226359, 133.5960950505328, -77.8257960421715, -91.71191053836176, 182.15389744634308, -120.2560624972998, -8.494776620375362, -79.83995745553233]"
Na,1s,"[-47.81533182361311, -162.2952339558023, 77.25690894303465, -176.1177365998796, -114.94572241074104, 194.12815456464563, -3.1241113502812228, -196.5376383736116, 3.347836353212016, -43.78069752721891, -151.98593693069927, -142.73449839972815, -89.74308799364636, 159.50140483871937, -175.128849757226, -224.02400285011043, -0.1717382297643255, 123.9021846613361, 25.85872021078801, -67.334560619795, -50.32844413278529, -138.5790302086866, -95.77812537823377, -249.62870361779332, -109.4766190739876, 85.15739305124288, -80.85276677770794, 82.77267206855666, -136.33193572318868, 1.184289072183659, -9.165725720447693, 38.4356904552027, -56.196450426439185, 91.0616763947025, 67.0640991127081, -33.74910938843059, 69.14136721539121, -88.18802703591487, 73.61866196935765, -93.5254130297803, 13.697303309381542, -76.54274333700054, -51.90194682932192, -71.40153396376876, 70.18892168389354, -205.22551682381098, 35.08176848201515, -106.20579657511828, -135.52894684942862, 141.5028572104562, -16.064220499303985, 127.47091395669611, 58.279248749973455, 101.73736241008831, 64.05698877796628, -39.78473645841273, 23.65663247373992, -29.463239008534718, -4.528233071627692, 25.480441939529427, 148.45256352899492, -180.02452270727963, 63.982953866508936, -141.40331958415703, 40.117744334543005, 60.031722896243984, 147.48267412099304, -122.8298552764542, 151.3893589651978, -27.292205536589872, 46.051156193650314, -82.34608770057865, 10.699923761168572, -108.82974697988841, 126.80549284946602, -50.51088346149278, -32.5132631360991, -146.85442666247795, -32.955462907153716, -131.79854470023326, -69.2441721022964, -25.304175960273138, 124.32175429246725, 107.99447274456469, -165.16319032853576, 73.00767799400228, 117.99777465905976, 19.08211625366252, -30.910419071210985, 65.83067376836297, 22.516409674110346, -88.85745117261342, 62.212721478861035, 121.18827038233438, 27.687740218887217, 167.92139031049086, -55.45186571044846, 63.14066106018035, 106.89511140327684, 7.823127600878038, -54.031331969597765, -35.38323872924271, -91.48153054983449, 59.11176978002726, 175.54482444335565, -157.07510437046315]"
Mg,1s,"[-88.1617406029989, 158.18844074585795, -79.74028796792793, -181.5484630494604, 7.230492287217041, -10.851804804627522, 126.4334375559675, 60.14256868301807, 46.21370565994932, -48.31448363391704, 206.6182445158312, 90.62460390925906, -175.3450950623876, -2.0563461763511146, -179.40622517508913, 41.31116748821927, -8.194371881258046, -1.6703614084918654, -13.968576894092687, -53.4662133594186, 106.35567112974726, -96.81507273315749, 21.986773777470827, 71.96480056717353, 165.70038476816075, 26.360059401179008, -206.91069131760645, 39.17504605196745, 49.98269438844802, 5.57096746353027, 232.93756151974225, -250.75282580082705, -146.80394874341908, -32.16649989262053, -149.80557384914354, -129.93473304565367, -6.571985641692606, -96.51218182049512, 103.39285937797148, -111.35439550727389, -96.9955388309164, -146.79648892261343, 40.762204617307894, -153.79048021529633, -90.03771123994704, 47.67926180075909, 82.7932212427339, 1.0333759244365384, -60.656426097758825, -98.66017593220964, -10.639856668827669, -48.18250496257991, 26.62067523486025, 105.94151100760696, 62.49490523672559, 33.31242768866921, 131.997910014243, 58.36449702778233, -177.9185946974351, -194.19409305107527, -42.1106808089323, -66.36849849487085, 63.41141710119052, 292.80218678952383, 127.0427235409695, -103.97026605857836, -121.73056757220827, 18.11417242672448, 143.61329913812304, -94.48480758926564, 23.967420661283427, -17.976135186244704, 124.01115362090047, 41.67997692647407, 27.48097033141321, -29.941544961508107, -141.08908723179493, 80.41747473769624, 85.41792585763415, 12.527687964697153, -94.21959513642437, -11.525854475550988, -42.575683883200455, 57.35010117878072, -130.05294405539448, 31.74252212600035, 60.72349896129325, 129.00965329321085, -48.38054904455249, 31.68646489244728, 214.5895544467077, -48.62360412500684, -86.59800991984989, 81.34006751189659, 10.767399869187319, 74.48469850192429, -123.46701733563489, 29.172181231738826, -3.020841209635531, 179.62805998349313, -63.11152193116786, 8.204524148251727, 27.17750100459854, -68.52610247992644, -7.799333187634638, 204.96270708375445]"
P,1s,"[69.28963588376823, -89.5832206039846, -69.53409660466639, 28.16181747480034, -124.14619098876696, -189.85222476004003, 77.10739928765956, 136.35374221401935, -179.07899561612544, -217.42295008087777, -164.2624777149213, -249.83396091779287, -247.27665965134733, -117.61722601408877, 14.24585413729257, -64.42348154772719, -113.300610032597, -54.58410708577243, 6.866830767525136, -32.736341659268426, 78.82458351696272, 6.076920676364309, -58.796482335719695, -2.694232608656835, -40.3405525428215, -79.37805031763816, 158.9209594002915, -62.1353058754559, -34.96243096062734, -83.62037992294212, 78.35958475028617, -73.73253871456802, 0.7346733808034474, -124.0290985216228, 18.05496713186332, -2.0708056578555003, 12.189413192269548, -55.80810001339901, -109.04676963135071, -68.40997941636685, 22.61734814616243, -41.13818979216695, -66.73352982795569, -104.8195897596467, -13.393981247933187, -210.93015333125226, -87.30794851952831, 50.41790146688478, -90.30380777543382, 103.18559806206893, 50.567865489961704, 26.706207405329618, 13.396764094812287, 19.600074682295553, 50.433361258431994, -61.679420896460236, -11.542262975352196, 251.68258476379734, -72.42586009405557, -203.49177305586613, -172.89249236810778, -117.14920707354472, 49.807218177651535, -51.860529076036045, 20.606976985864396, -140.02724459965398, -145.72009628168354, -7.354060071167907, -233.60800791077452, 25.358770066030676, 72.17393567591958, -231.27377329796974, -40.896898255382155, -126.09729388239569, -341.6921323892703, 201.6111791685717, 128.28537085395777, -204.0770760664501, -150.98176668935307, -46.64724516231989, 73.78199635292566, 3.8776892527097506, -97.20689598251586, -101.17765941627465, 166.58278484990691, -1.3799837610226602, 93.86049384390674, -127.12994977427348, -45.784771817093116, 92.27426072903287, 65.99933227664003, -89.59832297494675, -9.856968767435271, 0.6662017003022731, -134.9252040672339, -114.17311679586736, -86.66708099195934, -36.33209143627342, -79.4288807234688, 119.25188252135487, -79.3140808927892, -133.0248430883233, -31.817652423382555, -3.108916773747985, -21.560893329770174, -23.28629800052022]"
